Source,,,,,Bronze Layer,,,,,,Silver 1,,,,,,,,,,
Source System,File/Table Name,Source Field Name,Data Type,Data Length,Schema Name,Table Name,Field Name,Data Type,Data Length,Transformation Rules,Schema Name,Table Name,Proposed Table Name,Physical Field NM,Physical Field NM (Temp),Logical Field Name,Data Type,Data Length,Business Rule,SQL Command,Transformation Rule
RLS,LFPPMLB,PCO,numeric,"3, 0",BRZ_RLS,LFPPMLB,PCO,number,"3, 0",Direct,SLV_RLS,LFPPMLB,MASTER_POLICY_LIFE,COMP_CD,,COMPANY CODE,number,"3, 0",,,
RLS,LFPPMLB,PNO,nvarchar,11,BRZ_RLS,LFPPMLB,PNO,varchar,,Direct,SLV_RLS,LFPPMLB,MASTER_POLICY_LIFE,POLICY_NO,,POLICY NO.,varchar,,,,
RLS,LFPPMLB,PSOUR,nvarchar,10,BRZ_RLS,LFPPMLB,PSOUR,varchar,,Direct,SLV_RLS,LFPPMLB,MASTER_POLICY_LIFE,SRC_CD,,SOURCE CODE,varchar,,,,
RLS,LFPPMLB,PDOS,numeric,"8, 0",BRZ_RLS,LFPPMLB,PDOS,number,"8, 0",Direct,SLV_RLS,LFPPMLB,MASTER_POLICY_LIFE,SUBMIT_DT,,SUBMIT DATE,number,"8, 0",,,"TO_DATE(PDOS::VARCHAR, 'YYYYMMDD')"
RLS,LFPPMLB,PDOI,numeric,"8, 0",BRZ_RLS,LFPPMLB,PDOI,number,"8, 0",Direct,SLV_RLS,LFPPMLB,MASTER_POLICY_LIFE,ISSUE_DT,,ISSUE DATE,number,"8, 0",,,"TO_DATE(PDOI::VARCHAR, 'YYYYMMDD')"
RLS,LFPPMLB,PEFF,numeric,"8, 0",BRZ_RLS,LFPPMLB,PEFF,number,"8, 0",Direct,SLV_RLS,LFPPMLB,MASTER_POLICY_LIFE,POLICY_DT,,POLICY DATE,number,"8, 0",,,"TO_DATE(PEFF::VARCHAR, 'YYYYMMDD')"
RLS,LFPPMLB,PEXP,numeric,"8, 0",BRZ_RLS,LFPPMLB,PEXP,number,"8, 0",Direct,SLV_RLS,LFPPMLB,MASTER_POLICY_LIFE,EXP_DT,,EXPIRY DATE,number,"8, 0",,,"TO_DATE(PEXP::VARCHAR, 'YYYYMMDD')"
RLS,LFPPMLB,PTERM,numeric,"8, 0",BRZ_RLS,LFPPMLB,PTERM,number,"8, 0",Direct,SLV_RLS,LFPPMLB,MASTER_POLICY_LIFE,TERMINATE_DT,,TERMINATION DATE,number,"8, 0",,,"TO_DATE(PTERM::VARCHAR, 'YYYYMMDD')"
RLS,LFPPMLB,PATERM,numeric,"8, 0",BRZ_RLS,LFPPMLB,PATERM,number,"8, 0",Direct,SLV_RLS,LFPPMLB,MASTER_POLICY_LIFE,ACT_TERMINATE_DT,,ACTUAL TERMINATION DATE,number,"8, 0",,,"TO_DATE(PATERM::VARCHAR, 'YYYYMMDD')"
RLS,LFPPMLB,PPTD,numeric,"8, 0",BRZ_RLS,LFPPMLB,PPTD,number,"8, 0",Direct,SLV_RLS,LFPPMLB,MASTER_POLICY_LIFE,PAID_TO_DT,,PAID-TO-DATE,number,"8, 0",,,"TO_DATE(PPTD::VARCHAR, 'YYYYMMDD')"
RLS,LFPPMLB,PPAYDT,numeric,"8, 0",BRZ_RLS,LFPPMLB,PPAYDT,number,"8, 0",Direct,SLV_RLS,LFPPMLB,MASTER_POLICY_LIFE,LAST_PYMT_DT,,LAST PAYMENT DATE,number,"8, 0",,,"TO_DATE(PPAYDT::VARCHAR, 'YYYYMMDD')"
RLS,LFPPMLB,PPAYD1,numeric,"8, 0",BRZ_RLS,LFPPMLB,PPAYD1,number,"8, 0",Direct,SLV_RLS,LFPPMLB,MASTER_POLICY_LIFE,FIRST_PYMT_DT,,FIRST PAYMENT DATE,number,"8, 0",,,"TO_DATE(PPAYD1::VARCHAR, 'YYYYMMDD')"
RLS,LFPPMLB,PSTU,nvarchar,1,BRZ_RLS,LFPPMLB,PSTU,varchar,,Direct,SLV_RLS,LFPPMLB,MASTER_POLICY_LIFE,POLICY_STATUS_CD,,STATUS CODE,varchar,,,,
RLS,LFPPMLB,PSUSF,nvarchar,1,BRZ_RLS,LFPPMLB,PSUSF,varchar,,Direct,SLV_RLS,LFPPMLB,MASTER_POLICY_LIFE,IS_ACTIVITY_SUSPEND,,ACTIVITY SUSPENSION FLAG,varchar,,,,
