Target_Table,Target_Column,Source_Table,Source_Column
VW_FACT_APE_SYSTEM_MONTHLY_WD,PERIODKEY,VW_FACT_APE_SYSTEM_DAILY_WD,PERIODKEY
VW_FACT_APE_SYSTEM_MONTHLY_WD,FACTPERIOD,VW_FACT_APE_SYSTEM_DAILY_WD,FACTPERIOD
VW_FACT_APE_SYSTEM_MONTHLY_WD,APE_SOURCE,VW_FACT_APE_SYSTEM_DAILY_WD,APE_SOURCE
VW_FACT_APE_SYSTEM_MONTHLY_WD,APE_MIX,VW_FACT_APE_SYSTEM_DAILY_WD,APE_MIX
VW_FACT_APE_SYSTEM_MONTHLY_WD,PROCESS_TYPE,VW_FACT_APE_SYSTEM_DAILY_WD,PROCESS_TYPE
VW_FACT_APE_SYSTEM_MONTHLY_WD,APE_EOM,VW_FACT_APE_SYSTEM_DAILY_WD,APE
VW_FACT_APE_SYSTEM_MONTHLY_WD,CASECOUNT_EOM,VW_FACT_APE_SYSTEM_DAILY_WD,CASECOUNT
VW_FACT_APE_SYSTEM_MONTHLY_WD,APE_SAME_DAY,VW_FACT_APE_SYSTEM_DAILY_WD,APE_SAME_DAY
VW_FACT_APE_SYSTEM_MONTHLY_WD,CASECOUNT_SAME_DAY,VW_FACT_APE_SYSTEM_DAILY_WD,CASECOUNT_SAME_DAY
VW_FACT_APE_SYSTEM_MONTHLY_WD,APE_YOY,VW_FACT_APE_SYSTEM_DAILY_WD,APE_YOY
VW_FACT_APE_SYSTEM_MONTHLY_WD,CASECOUNT_YOY,VW_FACT_APE_SYSTEM_DAILY_WD,CASECOUNT_YOY
VW_FACT_APE_SYSTEM_MONTHLY_WD,APE_GROSS_EOM,VW_FACT_APE_SYSTEM_DAILY_WD,APE_GROSS
VW_FACT_APE_SYSTEM_MONTHLY_WD,CASECOUNT_GROSS_EOM,VW_FACT_APE_SYSTEM_DAILY_WD,CASECOUNT_GROSS
VW_FACT_APE_SYSTEM_MONTHLY_WD,MASTERPRODUCT_ENTITY,VW_FACT_APE_SYSTEM_DAILY_WD,MASTERPRODUCT_ENTITY
VW_FACT_APE_SYSTEM_MONTHLY_WD,MASTERPRODUCT_SYSTEM,VW_FACT_APE_SYSTEM_DAILY_WD,MASTERPRODUCT_SYSTEM
VW_FACT_APE_SYSTEM_MONTHLY_WD,MASTERPRODUCT_SYSTEM_CODE_ACTUARY,VW_FACT_APE_SYSTEM_DAILY_WD,MASTERPRODUCT_SYSTEM_CODE_ACTUARY
